,GENE ID
841,ENSG00000227620
842,ENSG00000254978
843,ENSG00000254016
844,ENSG00000249889
845,ENSG00000250794
846,ENSG00000253981
847,ENSG00000250268
848,ENSG00000242017
849,ENSG00000119523
850,ENSG00000214160
851,ENSG00000251568
852,ENSG00000120697
853,ENSG00000088035
854,ENSG00000159063
855,ENSG00000086848
856,ENSG00000254450
857,ENSG00000139133
858,ENSG00000175548
859,ENSG00000253710
860,ENSG00000182858
861,ENSG00000101901
862,ENSG00000229487
863,ENSG00000172339
864,ENSG00000230427
865,ENSG00000171094
866,ENSG00000196711
867,ENSG00000189292
868,ENSG00000100601
869,ENSG00000189046
870,ENSG00000166199
871,ENSG00000244926
872,ENSG00000160993
873,ENSG00000091542
874,ENSG00000239382
875,ENSG00000125652
876,ENSG00000137760
877,ENSG00000151360
878,ENSG00000116127
879,ENSG00000230002
880,ENSG00000163016
881,ENSG00000012779
882,ENSG00000132965
883,ENSG00000108839
884,ENSG00000215067
885,ENSG00000179477
886,ENSG00000264958
887,ENSG00000262943
888,ENSG00000161905
889,ENSG00000179593
890,ENSG00000274114
891,ENSG00000188101
892,ENSG00000179148
893,ENSG00000275011
894,ENSG00000163286
895,ENSG00000163295
896,ENSG00000073331
897,ENSG00000198796
898,ENSG00000136383
899,ENSG00000162551
900,ENSG00000163283
901,ENSG00000003393
902,ENSG00000178038
903,ENSG00000180318
904,ENSG00000156150
905,ENSG00000052850
906,ENSG00000183684
907,ENSG00000242110
908,ENSG00000178522
909,ENSG00000106927
910,ENSG00000110497
911,ENSG00000123505
912,ENSG00000228339
913,ENSG00000237801
914,ENSG00000249286
915,ENSG00000215124
916,ENSG00000139344
917,ENSG00000162066
918,ENSG00000125363
919,ENSG00000099721
920,ENSG00000184675
921,ENSG00000165566
922,ENSG00000178171
923,ENSG00000159461
924,ENSG00000104899
925,ENSG00000135409
926,ENSG00000181754
927,ENSG00000139211
928,ENSG00000176020
929,ENSG00000101935
930,ENSG00000224142
931,ENSG00000144233
932,ENSG00000233273
933,ENSG00000166126
934,ENSG00000151743
935,ENSG00000126016
936,ENSG00000166025
937,ENSG00000114019
938,ENSG00000116748
939,ENSG00000116337
940,ENSG00000133805
941,ENSG00000078053
942,ENSG00000145020
943,ENSG00000187689
944,ENSG00000237763
945,ENSG00000174876
946,ENSG00000187733
947,ENSG00000243480
948,ENSG00000240038
949,ENSG00000227408
950,ENSG00000174945
951,ENSG00000196704
952,ENSG00000214174
953,ENSG00000219249
954,ENSG00000233807
955,ENSG00000153107
956,ENSG00000233673
957,ENSG00000231259
958,ENSG00000230395
959,ENSG00000234231
960,ENSG00000275597
961,ENSG00000235486
962,ENSG00000176248
963,ENSG00000053900
964,ENSG00000089053
965,ENSG00000196510
966,ENSG00000164162
967,ENSG00000213735
968,ENSG00000141552
969,ENSG00000129055
970,ENSG00000110200
971,ENSG00000231619
972,ENSG00000232601
973,ENSG00000166295
974,ENSG00000214274
975,ENSG00000013523
976,ENSG00000174606
977,ENSG00000154188
978,ENSG00000091879
979,ENSG00000101280
980,ENSG00000116194
981,ENSG00000136859
982,ENSG00000132855
983,ENSG00000167772
984,ENSG00000187151
985,ENSG00000130812
986,ENSG00000171819
987,ENSG00000130173
988,ENSG00000227059
989,ENSG00000029534
990,ENSG00000145362
991,ENSG00000248152
992,ENSG00000151150
993,ENSG00000254271
994,ENSG00000151687
995,ENSG00000166839
996,ENSG00000189045
997,ENSG00000132623
998,ENSG00000153930
999,ENSG00000185722
1000,ENSG00000154122
1001,ENSG00000272057
1002,ENSG00000131503
1003,ENSG00000249637
1004,ENSG00000254996
1005,ENSG00000001629
1006,ENSG00000170209
1007,ENSG00000160117
1008,ENSG00000176915
1009,ENSG00000144504
1010,ENSG00000106524
1011,ENSG00000164331
1012,ENSG00000148677
1013,ENSG00000165887
1014,ENSG00000135299
1015,ENSG00000106013
1016,ENSG00000156381
1017,ENSG00000088448
1018,ENSG00000229152
1019,ENSG00000167522
1020,ENSG00000234429
1021,ENSG00000231686
1022,ENSG00000101745
1023,ENSG00000076513
1024,ENSG00000198720
1025,ENSG00000118454
1026,ENSG00000172932
1027,ENSG00000134461
1028,ENSG00000132466
1029,ENSG00000250220
1030,ENSG00000180071
1031,ENSG00000230453
1032,ENSG00000159712
1033,ENSG00000226435
1034,ENSG00000217165
1035,ENSG00000218577
1036,ENSG00000187984
1037,ENSG00000260691
1038,ENSG00000183148
1039,ENSG00000276203
1040,ENSG00000172014
1041,ENSG00000186481
1042,ENSG00000274502
1043,ENSG00000236816
1044,ENSG00000229089
1045,ENSG00000206192
1046,ENSG00000226695
1047,ENSG00000215559
1048,ENSG00000251056
1049,ENSG00000249493
1050,ENSG00000196593
1051,ENSG00000277112
1052,ENSG00000152766
1053,ENSG00000163126
1054,ENSG00000089847
1055,ENSG00000107890
1056,ENSG00000261239
1057,ENSG00000235550
1058,ENSG00000237636
1059,ENSG00000229427
1060,ENSG00000105186
1061,ENSG00000206560
1062,ENSG00000154065
1063,ENSG00000148513
1064,ENSG00000180777
1065,ENSG00000163046
1066,ENSG00000175302
1067,ENSG00000224309
1068,ENSG00000230501
1069,ENSG00000145700
1070,ENSG00000167612
1071,ENSG00000164236
1072,ENSG00000250106
1073,ENSG00000229689
1074,ENSG00000254728
1075,ENSG00000288434
1076,ENSG00000255111
1077,ENSG00000254547
1078,ENSG00000255162
1079,ENSG00000254558
1080,ENSG00000255305
1081,ENSG00000254916
1082,ENSG00000272031
1083,ENSG00000189127
1084,ENSG00000235711
1085,ENSG00000259234
1086,ENSG00000198483
1087,ENSG00000135976
1088,ENSG00000196912
1089,ENSG00000214262
1090,ENSG00000230006
1091,ENSG00000174501
1092,ENSG00000188399
1093,ENSG00000186352
1094,ENSG00000213337
1095,ENSG00000154945
1096,ENSG00000167117
1097,ENSG00000137494
1098,ENSG00000247137
1099,ENSG00000065413
1100,ENSG00000231621
1101,ENSG00000225979
1102,ENSG00000236977
1103,ENSG00000183831
1104,ENSG00000186106
1105,ENSG00000168876
1106,ENSG00000228446
1107,ENSG00000225349
1108,ENSG00000248616
1109,ENSG00000214684
1110,ENSG00000151458
1111,ENSG00000139645
1112,ENSG00000144031
1113,ENSG00000100124
1114,ENSG00000236442
1115,ENSG00000164512
1116,ENSG00000124227
1117,ENSG00000157999
1118,ENSG00000181626
1119,ENSG00000259271
1120,ENSG00000189295
1121,ENSG00000230778
1122,ENSG00000235098
1123,ENSG00000225905
1124,ENSG00000230062
1125,ENSG00000064999
1126,ENSG00000185046
1127,ENSG00000168096
1128,ENSG00000175311
1129,ENSG00000165138
1130,ENSG00000206199
1131,ENSG00000163516
1132,ENSG00000011426
1133,ENSG00000131620
