,GENE NAME,GENE ID
1124,ASCL3,ENSG00000176009
1125,ASCL4,ENSG00000187855
1126,ASCL5,ENSG00000232237
1127,ASDURF,ENSG00000286053
1128,ASF1A,ENSG00000111875
1129,ASF1B,ENSG00000105011
1130,ASGR1,ENSG00000141505
1131,ASGR2,ENSG00000161944
1132,ASH1L,ENSG00000116539
1133,ASH2L,ENSG00000129691
1134,ASIC1,ENSG00000110881
1135,ASIC2,ENSG00000108684
1136,ASIC3,ENSG00000213199
1137,ASIC4,ENSG00000072182
1138,ASIC5,ENSG00000256394
1139,ASIP,ENSG00000101440
1140,ASL,ENSG00000126522
1141,ASMT,ENSG00000196433
1142,ASMTL,ENSG00000169093
1143,ASNS,ENSG00000070669
1144,ASNSD1,ENSG00000138381
1145,ASPA,ENSG00000108381
1146,ASPDH,ENSG00000204653
1147,ASPG,ENSG00000166183
1148,ASPH,ENSG00000198363
1149,ASPHD1,ENSG00000174939
1150,ASPHD2,ENSG00000128203
1151,ASPM,ENSG00000066279
1152,ASPN,ENSG00000106819
1153,ASPRV1,ENSG00000244617
1154,ASPSCR1,ENSG00000169696
1155,ASRGL1,ENSG00000162174
1156,ASS1,ENSG00000130707
1157,ASTE1,ENSG00000034533
1158,ASTL,ENSG00000188886
1159,ASTN1,ENSG00000152092
1160,ASTN2,ENSG00000148219
1161,ASXL1,ENSG00000171456
1162,ASXL2,ENSG00000143970
1163,ASXL3,ENSG00000141431
1164,ASZ1,ENSG00000154438
1165,ATAD1,ENSG00000138138
1166,ATAD2,ENSG00000156802
1167,ATAD2B,ENSG00000119778
1168,ATAD3A,ENSG00000197785
1169,ATAD3B,ENSG00000160072
1170,ATAD3C,ENSG00000215915
1171,ATAD5,ENSG00000176208
1172,ATAT1,ENSG00000137343
1173,ATCAY,ENSG00000167654
1174,ATE1,ENSG00000107669
1175,ATF1,ENSG00000123268
1176,ATF2,ENSG00000115966
1177,ATF3,ENSG00000162772
1178,ATF4,ENSG00000128272
1179,ATF5,ENSG00000169136
1180,ATF6,ENSG00000118217
1181,ATF6B,ENSG00000213676
1182,ATF7,ENSG00000170653
1183,ATF7IP,ENSG00000171681
1184,ATF7IP2,ENSG00000166669
1185,ATG2A,ENSG00000110046
1186,ATG2B,ENSG00000066739
1187,ATG3,ENSG00000144848
1188,ATG4A,ENSG00000101844
1189,ATG4B,ENSG00000168397
1190,ATG4C,ENSG00000125703
1191,ATG4D,ENSG00000130734
1192,ATG5,ENSG00000057663
1193,ATG7,ENSG00000197548
1194,ATG9A,ENSG00000198925
1195,ATG9B,ENSG00000181652
1196,ATG10,ENSG00000152348
1197,ATG12,ENSG00000145782
1198,ATG13,ENSG00000175224
